ticker;name
MNSA3;MANASA
MNSA4;MANASA
MODL11;MODALMAIS
MODL3;MODALMAIS
MODL4;MODALMAIS
MOVI3;MOVIDA
MPLU3;MULTIPLUS
MRFG3;Marfrig
MRSL3;MARISOL
MRSL4;MARISOL
MRVE3;MRV
MSPA3;MELHORAMENTOS
MSPA4;MELHORAMENTOS
MTSA4;METISA
MULT3;Multiplan
NEOE3;NEOENERGIA
NEXP3;NEXPE
NGRD3;NEOGRID
NINJ3;GETNINJAS
NUTR3;NUTRIPLANT
ODPV3;ODONTOPREV
OGXP3;OGX
OIBR3;OI
OIBR4;OI
ONCO3;ONCOCLINICAS
OPCT3;OCEANPACT
ORVR3;ORIZON
PALF11;CPFL
PALF3;CPFL
PALF5;CPFL
PARD3;IHPARDINI
PATI3;PANATLANTICA
PATI4;PANATLANTICA
PDTC3;PADTEC
PETR3;PETROBRAS
PETR4;PETROBRAS
PETZ3;PETZ
PFRM3;PROFARMA
PINE3;Pine
PINE4;Pine
PLDN4;POLIALDEN
PLPL3;PLANOEPLANO
PNOR5;PRONOR
PNOR6;PRONOR
POMO3;MARCOPOLO
POMO4;MARCOPOLO
PRBC3;Parana
PRBC4;Parana
PRIO3;PETRORIO
PRML3;PRUMO
PRNR3;PRINER
PRTX3;PORTX
PRVI3;Providencia
PTNT3;PETTENATI
PTNT4;PETTENATI
PTQS4;PETROQUISA
QUAL3;QUALICORP
RADL3;RAIADROGASIL
RAIA3;RAIA
RAIZ4;RAIZEN
RCSL3;RECRUSUL
RCSL4;RECRUSUL
RCTB31;TELEBRAS
RCTB33;TELEBRAS
RCTB41;TELEBRAS
RCTB42;TELEBRAS
RDCD3;Redecard
RDNI3;RNI
RDTR3;REDENTOR
RECV3;PETRORECONCA
REPA3;ELECTROLUX
REPA4;ELECTROLUX
RNAR3;POMIFRUTAS
RNEW11;RENOVA
RNEW3;RENOVA
RNEW4;RENOVA
ROMI3;ROMI
ROMI4;ROMI
RPSA4;RIPASA
SANB11;SANTANDER
SANB3;SANTANDER
SANB4;SANTANDER
SAPR11;SANEPAR
SAPR3;SANEPAR
SAPR4;SANEPAR
SBSP3;SABESP
SDIA3;SADIA
SDIA4;SADIA
SFSA3;Sofisa
SFSA4;Sofisa
SGAS3;WLM
SGAS4;WLM
SGEN3;SERGEN
SGEN4;SERGEN
SGPS3;Springs
SHUL4;SCHULZ
SIMH3;SIMPAR
SLCP3;SULACAP
SMLE3;SMILES
SMLS3;SMILES
SNSL3;SINQIA
SPRI3;SPRINGER
SPRI5;SPRINGER
SPRI6;SPRINGER
SQIA3;SINQIA
SSBR3;ALIANSCSONAE
STBP11;SBPAR
STBP3;SBPAR
STRP4;STAROUP
TAEE11;TAESA
TAEE3;TAESA
TAEE4;TAESA
TAMM3;TAM
TAMM4;TAM
TANC4;TAM
TARP11;TARPON
TCSA3;TECNISA
TECN3;TECHNOS
TELB3;TELEBRAS
TELB4;TELEBRAS
TEND3;Tenda
TENE5;TECBLU
TENE7;TECBLU
TERI3;TEREOS
TGMA3;Tegma
TIBR3;CRISTAL
TIBR5;CRISTAL
TIBR6;CRISTAL
TIMS3;TIM
TKNO4;TEKNO
TMAR3;TELEMAR
TMAR5;TELEMAR
TMAR6;TELEMAR
TNLP3;TELEMAR
TNLP4;TELEMAR
TOTS3;TOTVS
TRAD3;TC
TRFO3;TRAFO
TRFO4;TRAFO
TRIS3;Trisul
TROR3;TRORION
TROR4;TRORION
TTEN3;3TENTOS
TUPY3;TUPY
TUPY4;TUPY
TVIT3;TIVIT
TXRX3;RENAUX
TXRX4;RENAUX
UCAS3;UNICASA
UOLL4;UOL
USIM3;USIMINAS
USIM5;USIMINAS
USIM6;USIMINAS
VAGV3;SAVIRG
VAGV4;SAVIRG
VALE3;VALE
VALE5;VALE
VAMO3;VAMOS
VBBR3;VIBRA
VCPA4;Fibria
VGOR3;VIGOR
VGOR4;VIGOR
VIIA3;VIA
VITT3;VITTIA
VIVR3;VIVER
VLID3;VALID
VNET3;CIELO
VPSC3;VPSC
VPSC4;VPSC
VPTA3;VPTA
VPTA4;VPTA
VVAR11;VIA
VVAR3;VIA
VVAR4;VIA
VVEO3;VIVEO
WEST3;WESTWING
WLMM3;WLM
WLMM4;WLM
